Data values,Data description,Year,Row,Column,Authority,Notes
-17,£ thousand,2005-06,Street lighting (including energy costs),"Income from sales, fees and charges",Caerphilly,
-133.84,£ thousand,2005-06,Street lighting (including energy costs),"Income from sales, fees and charges",Blaenau Gwent,
-13,£ thousand,2005-06,Street lighting (including energy costs),"Income from sales, fees and charges",Torfaen,
-8,£ thousand,2005-06,Street lighting (including energy costs),"Income from sales, fees and charges",Monmouthshire,
-20,£ thousand,2005-06,Street lighting (including energy costs),"Income from sales, fees and charges",Newport,
0,£ thousand,2005-06,Street lighting (including energy costs),"Income from sales, fees and charges",Cardiff,
-598.28,£ thousand,2005-06,Street lighting (including energy costs),"Income from sales, fees and charges",Total Unitary Authorities,
0,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Isle of Anglesey,
0,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Gwynedd,
0,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Conwy,
-3,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Denbighshire,
0,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Flintshire,
0,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Wrexham,
0,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Powys,
0,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Ceredigion,
0,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Pembrokeshire,
0,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Carmarthenshire,
-5,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Swansea,
0,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Neath Port Talbot,
0,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Bridgend,
-94,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Vale of Glamorgan,
0,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Rhondda Cynon Taf,
0,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Merthyr Tydfil,
0,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Caerphilly,
0,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Blaenau Gwent,
0,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Torfaen,
0,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Monmouthshire,
0,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Newport,
0,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Cardiff,
-102,£ thousand,2005-06,Street lighting (including energy costs),Other income (excluding joint arrangements),Total Unitary Authorities,
0,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Isle of Anglesey,
0,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Gwynedd,
0,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Conwy,
0,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Denbighshire,
0,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Flintshire,
0,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Wrexham,
0,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Powys,
0,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Ceredigion,
0,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Pembrokeshire,
0,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Carmarthenshire,
0,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Swansea,
0,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Neath Port Talbot,
0,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Bridgend,
0,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Vale of Glamorgan,
0,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Rhondda Cynon Taf,
0,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Merthyr Tydfil,
0,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Caerphilly,
0,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Blaenau Gwent,
0,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Torfaen,
-2,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Monmouthshire,
0,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Newport,
0,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Cardiff,
-2,£ thousand,2005-06,Street lighting (including energy costs),Income from joint arrangements with non-local authority bodies,Total Unitary Authorities,
-3,£ thousand,2005-06,Street lighting (including energy costs),Total income,Isle of Anglesey,
0,£ thousand,2005-06,Street lighting (including energy costs),Total income,Gwynedd,
-3,£ thousand,2005-06,Street lighting (including energy costs),Total income,Conwy,
-4,£ thousand,2005-06,Street lighting (including energy costs),Total income,Denbighshire,
0,£ thousand,2005-06,Street lighting (including energy costs),Total income,Flintshire,
-119.25,£ thousand,2005-06,Street lighting (including energy costs),Total income,Wrexham,
-0.89,£ thousand,2005-06,Street lighting (including energy costs),Total income,Powys,
-12,£ thousand,2005-06,Street lighting (including energy costs),Total income,Ceredigion,
-13,£ thousand,2005-06,Street lighting (including energy costs),Total income,Pembrokeshire,
-63,£ thousand,2005-06,Street lighting (including energy costs),Total income,Carmarthenshire,
-97,£ thousand,2005-06,Street lighting (including energy costs),Total income,Swansea,
-9,£ thousand,2005-06,Street lighting (including energy costs),Total income,Neath Port Talbot,
-17,£ thousand,2005-06,Street lighting (including energy costs),Total income,Bridgend,
-100,£ thousand,2005-06,Street lighting (including energy costs),Total income,Vale of Glamorgan,
-19.28,£ thousand,2005-06,Street lighting (including energy costs),Total income,Rhondda Cynon Taf,
-48,£ thousand,2005-06,Street lighting (including energy costs),Total income,Merthyr Tydfil,
-17,£ thousand,2005-06,Street lighting (including energy costs),Total income,Caerphilly,
-133.84,£ thousand,2005-06,Street lighting (including energy costs),Total income,Blaenau Gwent,
-13,£ thousand,2005-06,Street lighting (including energy costs),Total income,Torfaen,
-10,£ thousand,2005-06,Street lighting (including energy costs),Total income,Monmouthshire,
-20,£ thousand,2005-06,Street lighting (including energy costs),Total income,Newport,
0,£ thousand,2005-06,Street lighting (including energy costs),Total income,Cardiff,
-702.28,£ thousand,2005-06,Street lighting (including energy costs),Total income,Total Unitary Authorities,
656,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Isle of Anglesey,
1226,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Gwynedd,
1079,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Conwy,
588,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Denbighshire,
794,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Flintshire,
663.75,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Wrexham,
1056.51,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Powys,
496,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Ceredigion,
1035,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Pembrokeshire,
1340,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Carmarthenshire,
1714,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Swansea,
1267.4,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Neath Port Talbot,
1316,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Bridgend,
1086,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Vale of Glamorgan,
1402.26,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Rhondda Cynon Taf,
531,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Merthyr Tydfil,
2447.27,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Caerphilly,
1182.63,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Blaenau Gwent,
943,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Torfaen,
741,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Monmouthshire,
1296,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Newport,
3147,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Cardiff,
26007.83,£ thousand,2005-06,Street lighting (including energy costs),Net current expenditure,Total Unitary Authorities,
0,£ thousand,2005-06,Street lighting (including energy costs),Grants,Isle of Anglesey,
0,£ thousand,2005-06,Street lighting (including energy costs),Grants,Gwynedd,
0,£ thousand,2005-06,Street lighting (including energy costs),Grants,Conwy,
0,£ thousand,2005-06,Street lighting (including energy costs),Grants,Denbighshire,
0,£ thousand,2005-06,Street lighting (including energy costs),Grants,Flintshire,
0,£ thousand,2005-06,Street lighting (including energy costs),Grants,Wrexham,
0,£ thousand,2005-06,Street lighting (including energy costs),Grants,Powys,
0,£ thousand,2005-06,Street lighting (including energy costs),Grants,Ceredigion,
0,£ thousand,2005-06,Street lighting (including energy costs),Grants,Pembrokeshire,
0,£ thousand,2005-06,Street lighting (including energy costs),Grants,Carmarthenshire,
0,£ thousand,2005-06,Street lighting (including energy costs),Grants,Swansea,
0,£ thousand,2005-06,Street lighting (including energy costs),Grants,Neath Port Talbot,
0,£ thousand,2005-06,Street lighting (including energy costs),Grants,Bridgend,
0,£ thousand,2005-06,Street lighting (including energy costs),Grants,Vale of Glamorgan,
0,£ thousand,2005-06,Street lighting (including energy costs),Grants,Rhondda Cynon Taf,
0,£ thousand,2005-06,Street lighting (including energy costs),Grants,Merthyr Tydfil,
-75,£ thousand,2005-06,Street lighting (including energy costs),Grants,Caerphilly,
-21.19,£ thousand,2005-06,Street lighting (including energy costs),Grants,Blaenau Gwent,
0,£ thousand,2005-06,Street lighting (including energy costs),Grants,Torfaen,
0,£ thousand,2005-06,Street lighting (including energy costs),Grants,Monmouthshire,
0,£ thousand,2005-06,Street lighting (including energy costs),Grants,Newport,
0,£ thousand,2005-06,Street lighting (including energy costs),Grants,Cardiff,
-96.19,£ thousand,2005-06,Street lighting (including energy costs),Grants,Total Unitary Authorities,
341,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Isle of Anglesey,
388,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Gwynedd,
391,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Conwy,
311,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Denbighshire,
233,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Flintshire,
1243.59,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Wrexham,
272,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Powys,
58,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Ceredigion,
218,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Pembrokeshire,
1168,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Carmarthenshire,
427,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Swansea,
214,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Neath Port Talbot,
92,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Bridgend,
191,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Vale of Glamorgan,
358.63,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Rhondda Cynon Taf,
162.13,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Merthyr Tydfil,
243.75,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Caerphilly,
14.95,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Blaenau Gwent,
318,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Torfaen,
258,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Monmouthshire,
243,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Newport,
2897,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Cardiff,
10043.07,£ thousand,2005-06,Traffic management,Direct spend (employee costs and running costs),Total Unitary Authorities,
73,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Isle of Anglesey,
45,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Gwynedd,
107,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Conwy,
42,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Denbighshire,
123,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Flintshire,
341.23,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Wrexham,
52.54,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Powys,
31,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Ceredigion,
65,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Pembrokeshire,
145,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Carmarthenshire,
29,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Swansea,
49,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Neath Port Talbot,
8,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Bridgend,
49,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Vale of Glamorgan,
175.56,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Rhondda Cynon Taf,
101.1,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Merthyr Tydfil,
26,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Caerphilly,
154.64,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Blaenau Gwent,
86,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Torfaen,
12,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Monmouthshire,
59,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Newport,
500,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Cardiff,
2274.07,£ thousand,2005-06,Traffic management,Central and departmental support services costs,Total Unitary Authorities,
-58,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Isle of Anglesey,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Gwynedd,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Conwy,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Denbighshire,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Flintshire,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Wrexham,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Powys,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Ceredigion,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Pembrokeshire,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Carmarthenshire,
-56,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Swansea,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Neath Port Talbot,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Bridgend,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Vale of Glamorgan,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Rhondda Cynon Taf,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Merthyr Tydfil,
-22,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Caerphilly,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Blaenau Gwent,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Torfaen,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Monmouthshire,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Newport,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Cardiff,
-136,£ thousand,2005-06,Traffic management,Income from joint arrangements with other local authorities,Total Unitary Authorities,
356,£ thousand,2005-06,Traffic management,Gross expenditure,Isle of Anglesey,
433,£ thousand,2005-06,Traffic management,Gross expenditure,Gwynedd,
498,£ thousand,2005-06,Traffic management,Gross expenditure,Conwy,
353,£ thousand,2005-06,Traffic management,Gross expenditure,Denbighshire,
356,£ thousand,2005-06,Traffic management,Gross expenditure,Flintshire,
1584.82,£ thousand,2005-06,Traffic management,Gross expenditure,Wrexham,
324.54,£ thousand,2005-06,Traffic management,Gross expenditure,Powys,
89,£ thousand,2005-06,Traffic management,Gross expenditure,Ceredigion,
283,£ thousand,2005-06,Traffic management,Gross expenditure,Pembrokeshire,
1313,£ thousand,2005-06,Traffic management,Gross expenditure,Carmarthenshire,
400,£ thousand,2005-06,Traffic management,Gross expenditure,Swansea,
263,£ thousand,2005-06,Traffic management,Gross expenditure,Neath Port Talbot,
100,£ thousand,2005-06,Traffic management,Gross expenditure,Bridgend,
240,£ thousand,2005-06,Traffic management,Gross expenditure,Vale of Glamorgan,
534.19,£ thousand,2005-06,Traffic management,Gross expenditure,Rhondda Cynon Taf,
263.23,£ thousand,2005-06,Traffic management,Gross expenditure,Merthyr Tydfil,
247.75,£ thousand,2005-06,Traffic management,Gross expenditure,Caerphilly,
169.59,£ thousand,2005-06,Traffic management,Gross expenditure,Blaenau Gwent,
404,£ thousand,2005-06,Traffic management,Gross expenditure,Torfaen,
270,£ thousand,2005-06,Traffic management,Gross expenditure,Monmouthshire,
302,£ thousand,2005-06,Traffic management,Gross expenditure,Newport,
3397,£ thousand,2005-06,Traffic management,Gross expenditure,Cardiff,
12181.14,£ thousand,2005-06,Traffic management,Gross expenditure,Total Unitary Authorities,
-4,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Isle of Anglesey,
-2,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Gwynedd,
-1,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Conwy,
0,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Denbighshire,
-39,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Flintshire,
-364.32,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Wrexham,
0,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Powys,
-75,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Ceredigion,
-105,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Pembrokeshire,
-334,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Carmarthenshire,
-15,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Swansea,
-99,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Neath Port Talbot,
0,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Bridgend,
0,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Vale of Glamorgan,
-23.53,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Rhondda Cynon Taf,
-13.34,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Merthyr Tydfil,
0,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Caerphilly,
-11.72,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Blaenau Gwent,
-17,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Torfaen,
-4,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Monmouthshire,
0,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Newport,
-1011,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Cardiff,
-2118.92,£ thousand,2005-06,Traffic management,"Income from sales, fees and charges",Total Unitary Authorities,
0,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Isle of Anglesey,
-57,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Gwynedd,
0,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Conwy,
-21,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Denbighshire,
0,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Flintshire,
-198.68,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Wrexham,
0,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Powys,
0,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Ceredigion,
0,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Pembrokeshire,
0,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Carmarthenshire,
-77,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Swansea,
0,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Neath Port Talbot,
-30,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Bridgend,
-129,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Vale of Glamorgan,
-133.75,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Rhondda Cynon Taf,
0,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Merthyr Tydfil,
0,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Caerphilly,
0,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Blaenau Gwent,
0,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Torfaen,
0,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Monmouthshire,
0,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Newport,
-518,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Cardiff,
-1164.44,£ thousand,2005-06,Traffic management,Other income (excluding joint arrangements),Total Unitary Authorities,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Isle of Anglesey,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Gwynedd,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Conwy,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Denbighshire,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Flintshire,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Wrexham,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Powys,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Ceredigion,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Pembrokeshire,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Carmarthenshire,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Swansea,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Neath Port Talbot,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Bridgend,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Vale of Glamorgan,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Rhondda Cynon Taf,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Merthyr Tydfil,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Caerphilly,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Blaenau Gwent,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Torfaen,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Monmouthshire,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Newport,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Cardiff,
0,£ thousand,2005-06,Traffic management,Income from joint arrangements with non-local authority bodies,Total Unitary Authorities,
-4,£ thousand,2005-06,Traffic management,Total income,Isle of Anglesey,
-59,£ thousand,2005-06,Traffic management,Total income,Gwynedd,
-1,£ thousand,2005-06,Traffic management,Total income,Conwy,
-21,£ thousand,2005-06,Traffic management,Total income,Denbighshire,
-39,£ thousand,2005-06,Traffic management,Total income,Flintshire,
-563.01,£ thousand,2005-06,Traffic management,Total income,Wrexham,
0,£ thousand,2005-06,Traffic management,Total income,Powys,
-75,£ thousand,2005-06,Traffic management,Total income,Ceredigion,
-105,£ thousand,2005-06,Traffic management,Total income,Pembrokeshire,
-334,£ thousand,2005-06,Traffic management,Total income,Carmarthenshire,
-92,£ thousand,2005-06,Traffic management,Total income,Swansea,
-99,£ thousand,2005-06,Traffic management,Total income,Neath Port Talbot,
-30,£ thousand,2005-06,Traffic management,Total income,Bridgend,
-129,£ thousand,2005-06,Traffic management,Total income,Vale of Glamorgan,
-157.29,£ thousand,2005-06,Traffic management,Total income,Rhondda Cynon Taf,
-13.34,£ thousand,2005-06,Traffic management,Total income,Merthyr Tydfil,
0,£ thousand,2005-06,Traffic management,Total income,Caerphilly,
-11.72,£ thousand,2005-06,Traffic management,Total income,Blaenau Gwent,
-17,£ thousand,2005-06,Traffic management,Total income,Torfaen,
-4,£ thousand,2005-06,Traffic management,Total income,Monmouthshire,
0,£ thousand,2005-06,Traffic management,Total income,Newport,
-1529,£ thousand,2005-06,Traffic management,Total income,Cardiff,
-3283.37,£ thousand,2005-06,Traffic management,Total income,Total Unitary Authorities,
352,£ thousand,2005-06,Traffic management,Net current expenditure,Isle of Anglesey,
374,£ thousand,2005-06,Traffic management,Net current expenditure,Gwynedd,
497,£ thousand,2005-06,Traffic management,Net current expenditure,Conwy,
332,£ thousand,2005-06,Traffic management,Net current expenditure,Denbighshire,
317,£ thousand,2005-06,Traffic management,Net current expenditure,Flintshire,
1021.8,£ thousand,2005-06,Traffic management,Net current expenditure,Wrexham,
324.54,£ thousand,2005-06,Traffic management,Net current expenditure,Powys,
14,£ thousand,2005-06,Traffic management,Net current expenditure,Ceredigion,
178,£ thousand,2005-06,Traffic management,Net current expenditure,Pembrokeshire,
979,£ thousand,2005-06,Traffic management,Net current expenditure,Carmarthenshire,
308,£ thousand,2005-06,Traffic management,Net current expenditure,Swansea,
164,£ thousand,2005-06,Traffic management,Net current expenditure,Neath Port Talbot,
70,£ thousand,2005-06,Traffic management,Net current expenditure,Bridgend,
111,£ thousand,2005-06,Traffic management,Net current expenditure,Vale of Glamorgan,
376.89,£ thousand,2005-06,Traffic management,Net current expenditure,Rhondda Cynon Taf,
249.89,£ thousand,2005-06,Traffic management,Net current expenditure,Merthyr Tydfil,
247.75,£ thousand,2005-06,Traffic management,Net current expenditure,Caerphilly,
157.87,£ thousand,2005-06,Traffic management,Net current expenditure,Blaenau Gwent,
387,£ thousand,2005-06,Traffic management,Net current expenditure,Torfaen,
266,£ thousand,2005-06,Traffic management,Net current expenditure,Monmouthshire,
302,£ thousand,2005-06,Traffic management,Net current expenditure,Newport,
1868,£ thousand,2005-06,Traffic management,Net current expenditure,Cardiff,
8897.76,£ thousand,2005-06,Traffic management,Net current expenditure,Total Unitary Authorities,
0,£ thousand,2005-06,Traffic management,Grants,Isle of Anglesey,
0,£ thousand,2005-06,Traffic management,Grants,Gwynedd,
-211,£ thousand,2005-06,Traffic management,Grants,Conwy,
0,£ thousand,2005-06,Traffic management,Grants,Denbighshire,
0,£ thousand,2005-06,Traffic management,Grants,Flintshire,
-280.38,£ thousand,2005-06,Traffic management,Grants,Wrexham,
