Data values,Data description,Year,Row,Column,Authority,Notes
725,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Vale of Glamorgan,
1120.78,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Rhondda Cynon Taf,
99.23,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Merthyr Tydfil,
485,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Caerphilly,
300,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Blaenau Gwent,
357,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Monmouthshire,
245,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Newport,
1986,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Cardiff,
20573.61,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Total Unitary Authorities,
-147,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Isle of Anglesey,
-99,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Gwynedd,
-77,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Conwy,
-153,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Denbighshire,
-14,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Flintshire,
-9,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Wrexham,
-1747.56,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Powys,
-5969,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Ceredigion,
-78,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Pembrokeshire,
-350,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Carmarthenshire,
-280,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Bridgend,
-153,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Vale of Glamorgan,
-435.54,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Rhondda Cynon Taf,
-1.7,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Merthyr Tydfil,
-277,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Caerphilly,
-95,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Blaenau Gwent,
-50,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Monmouthshire,
-162,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Newport,
-1091,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Cardiff,
-11188.81,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Total Unitary Authorities,
-30,£ thousand,2002-03,"Transport planning, policy and strategy",Other income (excluding joint arrangements),Denbighshire,
-47,£ thousand,2002-03,"Transport planning, policy and strategy",Other income (excluding joint arrangements),Flintshire,
-60,£ thousand,2002-03,"Transport planning, policy and strategy",Other income (excluding joint arrangements),Wrexham,
-5,£ thousand,2002-03,"Transport planning, policy and strategy",Other income (excluding joint arrangements),Pembrokeshire,
-373,£ thousand,2002-03,"Transport planning, policy and strategy",Other income (excluding joint arrangements),Neath Port Talbot,
-119,£ thousand,2002-03,"Transport planning, policy and strategy",Other income (excluding joint arrangements),Bridgend,
-5,£ thousand,2002-03,"Transport planning, policy and strategy",Other income (excluding joint arrangements),Vale of Glamorgan,
-639,£ thousand,2002-03,"Transport planning, policy and strategy",Other income (excluding joint arrangements),Total Unitary Authorities,
-147,£ thousand,2002-03,"Transport planning, policy and strategy",Total income,Isle of Anglesey,
-99,£ thousand,2002-03,"Transport planning, policy and strategy",Total income,Gwynedd,
-77,£ thousand,2002-03,"Transport planning, policy and strategy",Total income,Conwy,
-183,£ thousand,2002-03,"Transport planning, policy and strategy",Total income,Denbighshire,
-61,£ thousand,2002-03,"Transport planning, policy and strategy",Total income,Flintshire,
-69,£ thousand,2002-03,"Transport planning, policy and strategy",Total income,Wrexham,
-1747.56,£ thousand,2002-03,"Transport planning, policy and strategy",Total income,Powys,
-5969,£ thousand,2002-03,"Transport planning, policy and strategy",Total income,Ceredigion,
-83,£ thousand,2002-03,"Transport planning, policy and strategy",Total income,Pembrokeshire,
-350,£ thousand,2002-03,"Transport planning, policy and strategy",Total income,Carmarthenshire,
-373,£ thousand,2002-03,"Transport planning, policy and strategy",Total income,Neath Port Talbot,
-399,£ thousand,2002-03,"Transport planning, policy and strategy",Total income,Bridgend,
-158,£ thousand,2002-03,"Transport planning, policy and strategy",Total income,Vale of Glamorgan,
-435.54,£ thousand,2002-03,"Transport planning, policy and strategy",Total income,Rhondda Cynon Taf,
-1.7,£ thousand,2002-03,"Transport planning, policy and strategy",Total income,Merthyr Tydfil,
-277,£ thousand,2002-03,"Transport planning, policy and strategy",Total income,Caerphilly,
-95,£ thousand,2002-03,"Transport planning, policy and strategy",Total income,Blaenau Gwent,
-50,£ thousand,2002-03,"Transport planning, policy and strategy",Total income,Monmouthshire,
-162,£ thousand,2002-03,"Transport planning, policy and strategy",Total income,Newport,
-1091,£ thousand,2002-03,"Transport planning, policy and strategy",Total income,Cardiff,
-11827.81,£ thousand,2002-03,"Transport planning, policy and strategy",Total income,Total Unitary Authorities,
288,£ thousand,2002-03,"Transport planning, policy and strategy",Net current expenditure,Isle of Anglesey,
340,£ thousand,2002-03,"Transport planning, policy and strategy",Net current expenditure,Gwynedd,
92,£ thousand,2002-03,"Transport planning, policy and strategy",Net current expenditure,Conwy,
448,£ thousand,2002-03,"Transport planning, policy and strategy",Net current expenditure,Denbighshire,
185,£ thousand,2002-03,"Transport planning, policy and strategy",Net current expenditure,Flintshire,
431,£ thousand,2002-03,"Transport planning, policy and strategy",Net current expenditure,Wrexham,
670.02,£ thousand,2002-03,"Transport planning, policy and strategy",Net current expenditure,Powys,
-400,£ thousand,2002-03,"Transport planning, policy and strategy",Net current expenditure,Ceredigion,
283,£ thousand,2002-03,"Transport planning, policy and strategy",Net current expenditure,Pembrokeshire,
1002,£ thousand,2002-03,"Transport planning, policy and strategy",Net current expenditure,Carmarthenshire,
873,£ thousand,2002-03,"Transport planning, policy and strategy",Net current expenditure,Swansea,
878,£ thousand,2002-03,"Transport planning, policy and strategy",Net current expenditure,Neath Port Talbot,
608,£ thousand,2002-03,"Transport planning, policy and strategy",Net current expenditure,Bridgend,
567,£ thousand,2002-03,"Transport planning, policy and strategy",Net current expenditure,Vale of Glamorgan,
685.23,£ thousand,2002-03,"Transport planning, policy and strategy",Net current expenditure,Rhondda Cynon Taf,
97.53,£ thousand,2002-03,"Transport planning, policy and strategy",Net current expenditure,Merthyr Tydfil,
208,£ thousand,2002-03,"Transport planning, policy and strategy",Net current expenditure,Caerphilly,
205,£ thousand,2002-03,"Transport planning, policy and strategy",Net current expenditure,Blaenau Gwent,
307,£ thousand,2002-03,"Transport planning, policy and strategy",Net current expenditure,Monmouthshire,
83,£ thousand,2002-03,"Transport planning, policy and strategy",Net current expenditure,Newport,
895,£ thousand,2002-03,"Transport planning, policy and strategy",Net current expenditure,Cardiff,
8745.8,£ thousand,2002-03,"Transport planning, policy and strategy",Net current expenditure,Total Unitary Authorities,
-45,£ thousand,2002-03,"Transport planning, policy and strategy",Grants,Ceredigion,
-8,£ thousand,2002-03,"Transport planning, policy and strategy",Grants,Monmouthshire,
-53,£ thousand,2002-03,"Transport planning, policy and strategy",Grants,Total Unitary Authorities,
94,£ thousand,2002-03,Total construction,Direct spend (employee costs and running costs),Gwynedd,
378,£ thousand,2002-03,Total construction,Direct spend (employee costs and running costs),Conwy,
1603,£ thousand,2002-03,Total construction,Direct spend (employee costs and running costs),Wrexham,
1137.2,£ thousand,2002-03,Total construction,Direct spend (employee costs and running costs),Powys,
190,£ thousand,2002-03,Total construction,Direct spend (employee costs and running costs),Carmarthenshire,
208,£ thousand,2002-03,Total construction,Direct spend (employee costs and running costs),Vale of Glamorgan,
164,£ thousand,2002-03,Total construction,Direct spend (employee costs and running costs),Caerphilly,
912,£ thousand,2002-03,Total construction,Direct spend (employee costs and running costs),Monmouthshire,
91,£ thousand,2002-03,Total construction,Direct spend (employee costs and running costs),Newport,
999,£ thousand,2002-03,Total construction,Direct spend (employee costs and running costs),Cardiff,
5776.2,£ thousand,2002-03,Total construction,Direct spend (employee costs and running costs),Total Unitary Authorities,
9,£ thousand,2002-03,Total construction,Central and departmental support services costs,Gwynedd,
9,£ thousand,2002-03,Total construction,Central and departmental support services costs,Conwy,
21,£ thousand,2002-03,Total construction,Central and departmental support services costs,Flintshire,
226,£ thousand,2002-03,Total construction,Central and departmental support services costs,Wrexham,
11,£ thousand,2002-03,Total construction,Central and departmental support services costs,Carmarthenshire,
5,£ thousand,2002-03,Total construction,Central and departmental support services costs,Swansea,
36,£ thousand,2002-03,Total construction,Central and departmental support services costs,Vale of Glamorgan,
1,£ thousand,2002-03,Total construction,Central and departmental support services costs,Caerphilly,
21,£ thousand,2002-03,Total construction,Central and departmental support services costs,Blaenau Gwent,
32,£ thousand,2002-03,Total construction,Central and departmental support services costs,Torfaen,
111,£ thousand,2002-03,Total construction,Central and departmental support services costs,Monmouthshire,
114,£ thousand,2002-03,Total construction,Central and departmental support services costs,Cardiff,
596,£ thousand,2002-03,Total construction,Central and departmental support services costs,Total Unitary Authorities,
103,£ thousand,2002-03,Total construction,Gross expenditure,Gwynedd,
387,£ thousand,2002-03,Total construction,Gross expenditure,Conwy,
21,£ thousand,2002-03,Total construction,Gross expenditure,Flintshire,
1829,£ thousand,2002-03,Total construction,Gross expenditure,Wrexham,
1137.2,£ thousand,2002-03,Total construction,Gross expenditure,Powys,
0,£ thousand,2002-03,Total construction,Gross expenditure,Pembrokeshire,
201,£ thousand,2002-03,Total construction,Gross expenditure,Carmarthenshire,
5,£ thousand,2002-03,Total construction,Gross expenditure,Swansea,
244,£ thousand,2002-03,Total construction,Gross expenditure,Vale of Glamorgan,
0,£ thousand,2002-03,Total construction,Gross expenditure,Merthyr Tydfil,
165,£ thousand,2002-03,Total construction,Gross expenditure,Caerphilly,
21,£ thousand,2002-03,Total construction,Gross expenditure,Blaenau Gwent,
